ADRG코드,ADRG명,ICD10코드,ICD10명,건수,평균재원일수
G671,장관염,A099,상세불명기원의위장염및결장염,182,3.4767066012704
G671,장관염,K5732,"출혈을동반하지않은천공또는농양이없는대장의게실병,게실염",25,3.4767066012704
G671,장관염,A020,살모넬라장염,18,3.4767066012704
G671,장관염,A045,캄필로박터장염,12,3.4767066012704
G671,장관염,A090,감염성기원의기타및상세불명의위장염및결장염,10,3.4767066012704
G671,장관염,A047,클로스트리듐디피실리에의한장결장염,8,3.4767066012704
G671,장관염,A040,장병원성대장균감염,3,3.4767066012704
G671,장관염,A048,기타명시된세균성장감염,2,3.4767066012704
G671,장관염,K5722,"출혈을동반하지않은천공및농양이있는대장의게실병,게실염",2,3.4767066012704
G671,장관염,A043,장출혈성대장균감염,1,3.4767066012704
G671,장관염,A044,기타장대장균감염,1,3.4767066012704
G671,장관염,A080,로타바이러스장염,1,3.4767066012704
G671,장관염,A081,노로바이러스에의한급성위장병증,1,3.4767066012704
G671,장관염,A084,상세불명의바이러스성장감염,1,3.4767066012704
G524,결장경 시술(주요 소화기 질환이 아닌 경우),D126,상세불명의결장의양성신생물,50,2.84961027051811
G524,결장경 시술(주요 소화기 질환이 아닌 경우),D125,구불결장의양성신생물,41,2.84961027051811
G524,결장경 시술(주요 소화기 질환이 아닌 경우),D123,횡행결장의양성신생물,37,2.84961027051811
