순번,진단명,환자수,ICD코드,ADRG,ADRG명,MDC,계열,DRG코드
1,바이러스성 및 기타 명시된 장감염,17,A08,G671,"Enteritis, Age ≤18 G67113 W Catastrophic CC",06,,"G67110, G67111, G67112, G67113, G67120, G67121, G67122, G67123, G67130, G67131, G67132, G67133"
1,바이러스성 및 기타 명시된 장감염,17,A08,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
1,바이러스성 및 기타 명시된 장감염,17,A08,P652,"Neonate, Admission Weight 1500-1999g P65200 중증도 구분 없음",18-2,,P65200
1,바이러스성 및 기타 명시된 장감염,17,A08,P662,"Neonate, Admission Weight 2000-2499g P66200 중증도 구분 없음",18-2,,P66200
1,바이러스성 및 기타 명시된 장감염,17,A08,P671,"Neonate, Admission Weight>2499g without P67100 중증도 구분 없음",06,,P67100
1,바이러스성 및 기타 명시된 장감염,17,A08,P672,"Neonate, Admission Weight>2499g without P67200 중증도 구분 없음",15,,P67200
1,바이러스성 및 기타 명시된 장감염,17,A08,S630,HIV-Related Infection S63000 중증도 구분 없음,18-1,,S63000
2,거미막하출혈,16,I60,B011,Complex Cerebral Aneurysm Procedures with Stroke,01,S,"B01100, B01101"
2,거미막하출혈,16,I60,B015,Embolization of Cerebral Aneurysm with Stroke,01,S,"B01500, B01501, B01502"
2,거미막하출혈,16,I60,B017,Combined Procedures in Cerebral Aneurysm with Stroke,01,S,B01700
2,거미막하출혈,16,I60,B021,Intracranial Vascular Procedures with Stroke,01,S,"B02100, B02101, B02102"
2,거미막하출혈,16,I60,B023,Embolization of Central Nervous System B02301 W Catastrophic CC,15,,"B02300, B02301"
2,거미막하출혈,16,I60,B092,CNS Stereotactic Procedures in Intracranial Hemorrhage,01,S,"B09200, B09201"
2,거미막하출혈,16,I60,B093,우선순위,01,S,B09300
2,거미막하출혈,16,I60,B682,Subarachnoid Hemorrhage B68203 W Catastrophic CC,01,,"B68200, B68201, B68202, B68203"
2,거미막하출혈,16,I60,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
